City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,amahai,-3.3333,128.9167,30.13,64,100,3.2,ID,1739330669
170,kosigi,15.85,77.2667,24.69,38,8,0.9,IN,1739330670
171,les cayes,18.2,-73.75,24.38,75,52,2.51,HT,1739330398
172,vilyuchinsk,52.9306,158.4028,-3.85,67,96,9.59,RU,1739330673
173,sena madureira,-9.0656,-68.6569,21.94,100,100,1.09,BR,1739330674
174,chai nat,15.1167,100.1,33.35,29,85,1.37,TH,1739330675
175,naze,28.3667,129.4833,17.51,71,100,7.48,JP,1739330674
176,brownwood,31.7093,-98.9912,5.0,100,100,4.12,US,1739330670
177,avarua,-21.2078,-159.775,30.03,84,75,6.17,CK,1739330679
178,santo antonio do ica,-3.1022,-67.9397,22.86,99,100,0.25,BR,1739330680
179,scarborough,54.2797,-0.4044,4.91,74,100,2.24,GB,1739330661
180,erdenet,49.0333,104.0833,-12.44,69,69,2.41,MN,1739330682
181,sao joao da barra,-21.6403,-41.0511,24.78,90,89,4.88,BR,1739330683
182,bom jesus do itabapoana,-21.1339,-41.6797,21.81,96,99,0.84,BR,1739330551
183,ancud,-41.8697,-73.8203,9.72,84,7,2.28,CL,1739330679
184,bouarfa,32.53,-1.95,6.66,53,99,1.91,MA,1739330686
185,queenstown,-31.8976,26.8753,12.32,89,8,1.18,ZA,1739330687
186,sao miguel do araguaia,-13.275,-50.1628,21.02,96,100,2.76,BR,1739330688
187,nova vicosa,-17.8919,-39.3719,24.8,87,62,2.05,BR,1739330689
188,san patricio,28.017,-97.5169,21.97,85,100,5.6,US,1739330691
189,naracoorte,-36.9579,140.7383,38.28,13,15,3.73,AU,1739330692
190,juneau,58.3019,-134.4197,-6.44,86,0,2.06,US,1739330693
191,praia,14.9215,-23.5087,20.3,73,20,5.66,CV,1739330695
192,utrik,11.2278,169.8474,26.76,74,61,4.73,MH,1739330696
193,kangding,30.0513,101.9603,1.03,74,94,2.77,CN,1739330697
194,coquimbo,-29.9533,-71.3436,16.85,94,40,2.57,CL,1739330448
195,la'ie,21.6477,-157.9253,25.98,75,35,1.79,US,1739330699
196,saipan,15.1355,145.701,31.39,67,40,8.75,MP,1739330702
197,tremonton,41.7119,-112.1655,-6.19,62,75,4.92,US,1739330703
198,usinsk,65.9939,57.5281,-8.62,96,96,3.74,RU,1739330704
199,akita,39.7167,140.1167,2.52,60,75,2.06,JP,1739330705
200,mount isa,-20.7333,139.5,37.87,32,100,2.06,AU,1739330706
201,vorgashor,67.5833,63.95,-12.53,91,95,6.08,RU,1739330707
202,ghanzi,-21.5667,21.7833,20.37,92,100,3.01,BW,1739330708
203,lompoc,34.6391,-120.4579,10.94,76,100,6.17,US,1739330709
204,tazacorte,28.629,-17.9293,17.54,72,75,5.14,ES,1739330711
205,creswell,43.9179,-123.0245,-0.35,72,1,1.05,US,1739330712
206,kidal,18.4411,1.4078,22.31,17,19,4.96,ML,1739330713
207,mont-laurier,46.5501,-75.4993,-27.45,99,12,0.96,CA,1739330714
208,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,39,0,10.0,RU,1739330715
209,mahdia,35.5047,11.0622,12.23,84,97,4.45,TN,1739330716
210,kolokani,13.5728,-8.0339,25.4,19,49,3.57,ML,1739330717
211,todos santos,23.45,-110.2167,16.36,85,54,4.17,MX,1739330718
212,moranbah,-22.0016,148.0466,31.66,50,1,7.58,AU,1739330719
213,puerto rico,-26.796,-55.024,24.86,62,62,1.29,AR,1739330720
214,bikenibeu village,1.3673,173.1241,26.98,89,100,3.6,KI,1739330722
215,bansud,12.865,121.4564,26.29,87,100,3.51,PH,1739330723
216,port saint john's,-31.6229,29.5448,20.03,89,60,3.92,ZA,1739330724
217,novyy turtkul',41.55,61.0167,-0.54,91,100,6.62,UZ,1739330725
218,ulladulla,-35.35,150.4667,23.76,69,22,3.71,AU,1739330726
219,sabang,5.8933,95.3214,27.58,71,36,7.06,ID,1739330727
220,okhotsk,59.3833,143.3,-13.87,78,100,5.71,RU,1739330728
221,vicosa,-20.7539,-42.8819,20.2,89,100,1.08,BR,1739330729
222,wenshui,28.4506,106.5267,3.68,94,100,1.18,CN,1739330730
223,wellington,-41.2866,174.7756,18.81,59,0,6.17,NZ,1739330731
